#{"t_start": 1762632990.989535, "env_id": "None"}
r,l,t
-200.0,1,285.904417
518.1,167,288.088027
-200.0,1,288.119375
-200.0,1,288.148683
-200.0,1,288.179833
3621.25,598,295.931101
-200.0,1,295.961797
-200.0,1,295.992823
-200.0,1,296.021634
-200.0,1,296.05158
79.5,75,297.497831
-200.0,1,297.525885
-200.0,1,297.555753
-200.0,1,297.585984
1701.2,249,300.821749
-200.0,1,300.852013
-200.0,1,300.881829
-200.0,1,300.91064
-200.0,1,300.939584
32.05,66,301.810387
-200.0,1,301.841825
-200.0,1,301.872724
-200.0,1,301.902179
-163.4,9,302.02527
-200.0,1,302.056832
-200.0,1,302.088858
-200.0,1,302.118963
435.6,143,303.991453
-200.0,1,304.03139
-200.0,1,304.061551
-200.0,1,304.089314
768.1,131,305.786923
-200.0,1,305.817619
-200.0,1,305.846811
-200.0,1,305.875254
587.15,194,308.407462
-200.0,1,308.439047
-200.0,1,308.471861
-200.0,1,308.501602
92.95,66,309.375775
-200.0,1,309.410475
-200.0,1,309.442051
-200.0,1,309.473925
-181.5,15,309.681138
-200.0,1,309.711274
-200.0,1,309.742523
-200.0,1,309.771289
-201.55,2,309.812795
-200.0,1,309.843675
-200.0,1,309.87452
-184.6,5,309.957502
-200.0,1,309.98732
-200.0,1,310.016323
-200.0,1,310.050214
311.7,63,310.869746
-200.0,1,310.903502
-200.0,1,310.933289
-200.0,1,310.962009
163.2,123,312.570181
-200.0,1,312.600253
-200.0,1,312.630089
-200.0,1,312.659523
-204.2,5,312.7372
-200.0,1,312.765635
-200.0,1,312.794324
-200.0,1,312.823586
-25.25,76,313.820503
-200.0,1,313.851964
-200.0,1,313.881398
-200.0,1,313.910155
107.95,56,314.660084
-200.0,1,314.691231
-200.0,1,314.723221
-200.0,1,314.755036
1032.85,240,317.890735
-200.0,1,317.934911
-200.0,1,317.96467
-200.0,1,317.991994
-3.8,71,318.918843
-200.0,1,318.951436
-200.0,1,318.982446
-200.0,1,319.014401
934.65,132,320.833337
-200.0,1,320.864848
-200.0,1,320.896692
-200.0,1,320.928701
-200.0,1,320.96032
898.05,258,324.535324
-200.0,1,324.567464
-200.0,1,324.599242
-200.0,1,324.630912
1704.1,243,328.42686
-200.0,1,328.47455
-200.0,1,328.504608
-200.0,1,328.534808
-200.0,1,328.564415
-201.55,2,328.607621
1367.6,179,331.07224
-200.0,1,331.104937
-200.0,1,331.137896
-200.0,1,331.169774
1076.65,206,334.008417
-200.0,1,334.043179
-200.0,1,334.074888
-200.0,1,334.104794
1005.75,166,336.379612
-200.0,1,336.413857
-200.0,1,336.445658
-200.0,1,336.477252
696.5,175,338.888936
-200.0,1,338.921225
-200.0,1,338.95508
-200.0,1,338.988961
-38.6,69,339.945389
-200.0,1,339.973949
-200.0,1,340.003586
-200.0,1,340.031681
598.45,112,341.58977
-200.0,1,341.625383
